"GEO_ID","NAME","S2801_C01_001E","S2801_C01_001M","S2801_C01_002E","S2801_C01_002M","S2801_C01_003E","S2801_C01_003M","S2801_C01_004E","S2801_C01_004M","S2801_C01_005E","S2801_C01_005M","S2801_C01_006E","S2801_C01_006M","S2801_C01_007E","S2801_C01_007M","S2801_C01_008E","S2801_C01_008M","S2801_C01_009E","S2801_C01_009M","S2801_C01_010E","S2801_C01_010M","S2801_C01_011E","S2801_C01_011M","S2801_C01_012E","S2801_C01_012M","S2801_C01_013E","S2801_C01_013M","S2801_C01_014E","S2801_C01_014M","S2801_C01_015E","S2801_C01_015M","S2801_C01_016E","S2801_C01_016M","S2801_C01_017E","S2801_C01_017M","S2801_C01_018E","S2801_C01_018M","S2801_C01_019E","S2801_C01_019M","S2801_C01_020E","S2801_C01_020M","S2801_C01_021E","S2801_C01_021M","S2801_C01_022E","S2801_C01_022M","S2801_C01_023E","S2801_C01_023M","S2801_C01_024E","S2801_C01_024M","S2801_C01_025E","S2801_C01_025M","S2801_C01_026E","S2801_C01_026M","S2801_C01_027E","S2801_C01_027M","S2801_C01_028E","S2801_C01_028M","S2801_C01_029E","S2801_C01_029M","S2801_C01_030E","S2801_C01_030M","S2801_C01_031E","S2801_C01_031M","S2801_C02_001E","S2801_C02_001M","S2801_C02_002E","S2801_C02_002M","S2801_C02_003E","S2801_C02_003M","S2801_C02_004E","S2801_C02_004M","S2801_C02_005E","S2801_C02_005M","S2801_C02_006E","S2801_C02_006M","S2801_C02_007E","S2801_C02_007M","S2801_C02_008E","S2801_C02_008M","S2801_C02_009E","S2801_C02_009M","S2801_C02_010E","S2801_C02_010M","S2801_C02_011E","S2801_C02_011M","S2801_C02_012E","S2801_C02_012M","S2801_C02_013E","S2801_C02_013M","S2801_C02_014E","S2801_C02_014M","S2801_C02_015E","S2801_C02_015M","S2801_C02_016E","S2801_C02_016M","S2801_C02_017E","S2801_C02_017M","S2801_C02_018E","S2801_C02_018M","S2801_C02_019E","S2801_C02_019M","S2801_C02_020E","S2801_C02_020M","S2801_C02_021E","S2801_C02_021M","S2801_C02_022E","S2801_C02_022M","S2801_C02_023E","S2801_C02_023M","S2801_C02_024E","S2801_C02_024M","S2801_C02_025E","S2801_C02_025M","S2801_C02_026E","S2801_C02_026M","S2801_C02_027E","S2801_C02_027M","S2801_C02_028E","S2801_C02_028M","S2801_C02_029E","S2801_C02_029M","S2801_C02_030E","S2801_C02_030M","S2801_C02_031E","S2801_C02_031M"
"id","Geographic Area Name","Estimate!!Total!!Total households","Margin of Error!!Total MOE!!Total households","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!TYPES OF COMPUTER!!No computer","Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!Total households","Margin of Error!!Percent MOE!!Total households","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer","Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Percent!!TYPES OF COMPUTER!!No computer","Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type!!Satellite Internet service","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With dial-up Internet subscription alone","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription"
"0500000US01003","Baldwin County, Alabama","83501","2931","77443","2976","62729","3103","4403","1110","70185","3289","9358","1887","53266","3460","1100","747","1184","646","0","201","6058","1474","71067","3036","433","393","70634","2994","65198","3075","16557","2677","48113","2969","10767","1766","12434","2350","10488","1880","162","216","7149","1624","3177","999","42398","2965","271","318","34396","2879","7731","1886","30615","3176","0","201","29089","3035","1526","747","(X)","(X)","92.7","1.7","75.1","3.0","5.3","1.3","84.1","2.4","11.2","2.2","63.8","3.8","1.3","0.9","1.4","0.8","0.0","0.2","7.3","1.7","85.1","2.7","0.5","0.5","84.6","2.7","78.1","2.9","19.8","3.1","57.6","3.3","12.9","2.1","14.9","2.7","(X)","(X)","1.5","2.1","68.2","8.5","30.3","8.3","(X)","(X)","0.6","0.7","81.1","4.2","18.2","4.2","(X)","(X)","0.0","0.5","95.0","2.3","5.0","2.3"
"0500000US01015","Calhoun County, Alabama","44264","1834","38768","1871","30768","1971","3054","879","32921","2200","3865","911","25422","1914","1164","549","1225","504","82","107","5496","969","34344","1827","229","205","34115","1824","27732","2037","6463","1285","24763","1680","4914","1279","9920","1223","10046","1536","66","112","6094","1104","3886","859","20912","2038","135","163","16402","1736","4375","1076","13306","1703","28","48","11619","1657","1659","774","(X)","(X)","87.6","2.1","69.5","3.3","6.9","2.1","74.4","3.1","8.7","2.1","57.4","3.8","2.6","1.2","2.8","1.1","0.2","0.2","12.4","2.1","77.6","2.6","0.5","0.5","77.1","2.6","62.7","3.9","14.6","2.8","55.9","3.1","11.1","2.8","22.4","2.6","(X)","(X)","0.7","1.1","60.7","5.9","38.7","6.0","(X)","(X)","0.6","0.8","78.4","4.2","20.9","4.4","(X)","(X)","0.2","0.4","87.3","5.6","12.5","5.6"
"0500000US01043","Cullman County, Alabama","30323","1437","26269","1408","19117","1648","654","324","24088","1604","3948","961","17024","1257","689","529","447","285","48","79","4054","753","24503","1394","204","216","24299","1389","21512","1502","7213","1173","14954","1365","3016","864","5820","1065","5935","1093","0","201","4020","942","1915","635","15884","1568","204","216","12595","1353","3085","863","8504","1136","0","201","7684","1118","820","421","(X)","(X)","86.6","2.4","63.0","4.6","2.2","1.1","79.4","3.2","13.0","3.1","56.1","3.6","2.3","1.8","1.5","0.9","0.2","0.3","13.4","2.4","80.8","3.2","0.7","0.7","80.1","3.2","70.9","4.0","23.8","3.7","49.3","4.4","9.9","2.7","19.2","3.2","(X)","(X)","0.0","2.8","67.7","9.2","32.3","9.2","(X)","(X)","1.3","1.4","79.3","4.6","19.4","4.8","(X)","(X)","0.0","1.9","90.4","4.8","9.6","4.8"
"0500000US01049","DeKalb County, Alabama","26462","1458","22675","1395","15879","1478","1440","692","20442","1482","4172","1000","13094","1451","306","254","250","202","0","201","3787","904","20646","1407","0","201","20646","1407","18541","1510","4939","916","14450","1450","2077","669","5816","1154","6787","1126","0","201","3853","1041","2934","916","13191","1442","0","201","10649","1270","2542","713","6484","1117","0","201","6144","1113","340","266","(X)","(X)","85.7","3.2","60.0","5.0","5.4","2.6","77.3","4.1","15.8","3.7","49.5","5.1","1.2","1.0","0.9","0.8","0.0","0.6","14.3","3.2","78.0","4.0","0.0","0.6","78.0","4.0","70.1","4.9","18.7","3.3","54.6","4.8","7.8","2.5","22.0","4.0","(X)","(X)","0.0","2.4","56.8","11.9","43.2","11.9","(X)","(X)","0.0","1.3","80.7","4.8","19.3","4.8","(X)","(X)","0.0","2.5","94.8","4.1","5.2","4.1"
"0500000US01051","Elmore County, Alabama","30155","1094","26120","1194","21528","1274","599","356","24958","1336","2809","994","19449","1376","313","281","717","420","0","201","4035","874","24772","1297","41","68","24731","1302","20312","1585","2983","804","20463","1332","2201","695","5383","1158","5082","1096","0","201","2908","781","2174","697","13576","1650","41","68","11261","1486","2274","943","11497","1412","0","201","10562","1360","935","557","(X)","(X)","86.6","2.8","71.4","3.8","2.0","1.2","82.8","3.3","9.3","3.2","64.5","4.3","1.0","0.9","2.4","1.4","0.0","0.6","13.4","2.8","82.1","3.7","0.1","0.2","82.0","3.7","67.4","4.7","9.9","2.6","67.9","4.0","7.3","2.3","17.9","3.7","(X)","(X)","0.0","3.2","57.2","9.8","42.8","9.8","(X)","(X)","0.3","0.5","82.9","6.4","16.8","6.4","(X)","(X)","0.0","1.4","91.9","4.6","8.1","4.6"
"0500000US01055","Etowah County, Alabama","38625","1544","34041","1772","23824","1641","1682","569","30802","1823","6626","1354","18929","1792","403","289","673","332","171","199","4584","888","31585","1842","0","201","31585","1842","28133","1613","7585","1339","22062","1631","2845","919","7040","1145","6727","1085","0","201","4704","864","2023","570","19791","1774","0","201","15667","1809","4124","1037","12107","1491","0","201","11214","1387","893","456","(X)","(X)","88.1","2.3","61.7","3.8","4.4","1.5","79.7","2.5","17.2","3.3","49.0","4.0","1.0","0.7","1.7","0.8","0.4","0.5","11.9","2.3","81.8","3.0","0.0","0.4","81.8","3.0","72.8","2.9","19.6","3.3","57.1","3.7","7.4","2.3","18.2","3.0","(X)","(X)","0.0","2.5","69.9","6.7","30.1","6.7","(X)","(X)","0.0","0.8","79.2","5.1","20.8","5.1","(X)","(X)","0.0","1.4","92.6","3.6","7.4","3.6"
"0500000US01069","Houston County, Alabama","38861","1098","31815","1167","24932","1068","3843","589","27072","1151","4870","744","18327","833","344","138","720","237","22","26","7046","800","29012","1145","192","153","28820","1154","24742","1070","5333","560","22427","985","1990","408","9849","931","8553","768","48","80","4122","630","4383","568","18022","1074","121","121","13603","1029","4298","736","12286","826","23","37","11095","836","1168","279","(X)","(X)","81.9","2.0","64.2","2.3","9.9","1.5","69.7","2.3","12.5","1.8","47.2","2.2","0.9","0.4","1.9","0.6","0.1","0.1","18.1","2.0","74.7","2.2","0.5","0.4","74.2","2.3","63.7","2.5","13.7","1.3","57.7","2.2","5.1","1.1","25.3","2.2","(X)","(X)","0.6","0.9","48.2","5.5","51.2","5.4","(X)","(X)","0.7","0.7","75.5","3.9","23.8","3.7","(X)","(X)","0.2","0.3","90.3","2.2","9.5","2.3"
"0500000US01073","Jefferson County, Alabama","255940","3851","228104","4302","182830","4522","7648","1218","211652","4630","27675","2786","148073","4238","2633","730","4549","944","0","201","27836","2209","213733","4653","163","150","213570","4648","194809","4531","38354","3576","166462","4910","19775","2105","42207","2617","47935","2767","0","201","29604","2680","18331","2083","112253","4227","122","135","93574","4155","18557","2119","95752","4390","41","67","90392","4344","5319","1320","(X)","(X)","89.1","0.9","71.4","1.4","3.0","0.5","82.7","1.1","10.8","1.1","57.9","1.4","1.0","0.3","1.8","0.4","0.0","0.1","10.9","0.9","83.5","1.1","0.1","0.1","83.4","1.0","76.1","1.3","15.0","1.4","65.0","1.5","7.7","0.8","16.5","1.1","(X)","(X)","0.0","0.3","61.8","4.0","38.2","4.0","(X)","(X)","0.1","0.1","83.4","1.8","16.5","1.8","(X)","(X)","0.0","0.1","94.4","1.4","5.6","1.4"
"0500000US01077","Lauderdale County, Alabama","38670","1735","33173","2072","26145","2001","2465","823","29423","2080","4884","1230","19788","2008","594","388","946","486","0","201","5497","1147","29439","2010","50","84","29389","2012","26258","2045","7878","1599","19290","1822","3458","750","9231","1398","7132","1272","0","201","4289","983","2843","878","19801","1651","50","84","14701","1665","5050","1076","11737","1600","0","201","10399","1495","1338","685","(X)","(X)","85.8","3.0","67.6","3.7","6.4","2.1","76.1","3.9","12.6","3.2","51.2","4.5","1.5","1.0","2.4","1.2","0.0","0.4","14.2","3.0","76.1","3.6","0.1","0.2","76.0","3.6","67.9","4.0","20.4","3.9","49.9","4.3","8.9","1.8","23.9","3.6","(X)","(X)","0.0","2.3","60.1","9.6","39.9","9.6","(X)","(X)","0.3","0.4","74.2","5.2","25.5","5.2","(X)","(X)","0.0","1.4","88.6","5.5","11.4","5.5"
