state,cable_price,fiber_optic_price,dsl_price,cable25,fiber_optic25,dsl25,cable100,fiber_optic100,dsl100
Alabama,0.55,0.5,,13.750000000000002,12.5,,55.00000000000001,50.0,
Arizona,0.55,1.2,,13.750000000000002,30.0,,55.00000000000001,120.0,
Arkansas,0.55,0.5,2.0,13.750000000000002,12.5,50.0,55.00000000000001,50.0,200.0
California,0.27,0.04,,6.75,1.0,,27.0,4.0,
Colorado,0.83,0.5,1.83,20.75,12.5,45.75,83.0,50.0,183.0
Connecticut,0.67,0.5,,16.75,12.5,,67.0,50.0,
Delaware,0.85,0.55,,21.25,13.750000000000002,,85.0,55.00000000000001,
Florida,0.83,0.42,,20.75,10.5,,83.0,42.0,
Georgia,0.83,0.5,,20.75,12.5,,83.0,50.0,
Idaho,0.55,1.0,1.94,13.750000000000002,25.0,48.5,55.00000000000001,100.0,194.0
Illinois,0.55,0.33,1.0,13.750000000000002,8.25,25.0,55.00000000000001,33.0,100.0
Indiana,0.55,0.5,0.9,13.750000000000002,12.5,22.5,55.00000000000001,50.0,90.0
lowa,0.5,0.57,1.16,12.5,14.249999999999998,28.999999999999996,50.0,56.99999999999999,115.99999999999999
Kansas,0.55,0.4,1.26,13.750000000000002,10.0,31.5,55.00000000000001,40.0,126.0
Kentucky,0.83,0.18,1.44,20.75,4.5,36.0,83.0,18.0,144.0
Louisiana,0.55,0.33,,13.750000000000002,8.25,,55.00000000000001,33.0,
Maine,0.83,0.55,,20.75,13.750000000000002,,83.0,55.00000000000001,
Maryland,0.83,0.55,1.8,20.75,13.750000000000002,45.0,83.0,55.00000000000001,180.0
Massachusetts,0.4,0.55,,10.0,13.750000000000002,,40.0,55.00000000000001,
Michigan,0.44,0.2,,11.0,5.0,,44.0,20.0,
Minnesota,0.55,0.17,1.66,13.750000000000002,4.25,41.5,55.00000000000001,17.0,166.0
Mississippi,0.55,,,13.750000000000002,,,55.00000000000001,,
Missouri,0.55,0.2,1.66,13.750000000000002,5.0,41.5,55.00000000000001,20.0,166.0
Nebraska,0.65,0.06,1.04,16.25,1.5,26.0,65.0,6.0,104.0
New Hampshire,0.65,2.0,,16.25,50.0,,65.0,200.0,
New Jersey,0.65,0.55,1.16,16.25,13.750000000000002,28.999999999999996,65.0,55.00000000000001,115.99999999999999
New Mexico,0.55,0.5,,13.750000000000002,12.5,,55.00000000000001,50.0,
New York,0.83,0.1,1.16,20.75,2.5,28.999999999999996,83.0,10.0,115.99999999999999
North Carolina,0.83,0.5,2.4,20.75,12.5,60.0,83.0,50.0,240.0
North Dakota,0.55,0.73,0.92,13.750000000000002,18.25,23.0,55.00000000000001,73.0,92.0
Ohio,0.65,0.18,1.0,16.25,4.5,25.0,65.0,18.0,100.0
Oklahoma,0.55,0.82,2.4,13.750000000000002,20.5,60.0,55.00000000000001,82.0,240.0
Oregon,0.55,0.13,1.94,13.750000000000002,3.25,48.5,55.00000000000001,13.0,194.0
Pennsylvania,0.83,0.5,1.8,20.75,12.5,45.0,83.0,50.0,180.0
South Carolina,0.83,0.5,0.6,20.75,12.5,15.0,83.0,50.0,60.0
South Dakota,0.55,0.78,1.83,13.750000000000002,19.5,45.75,55.00000000000001,78.0,183.0
Tennessee,0.55,0.18,,13.750000000000002,4.5,,55.00000000000001,18.0,
Texas,0.12,0.33,1.2,3.0,8.25,30.0,12.0,33.0,120.0
Utah,0.75,0.14,2.0,18.75,3.5000000000000004,50.0,75.0,14.000000000000002,200.0
Vermont,0.83,,,20.75,,,83.0,,
Virginia,0.83,0.55,1.8,20.75,13.750000000000002,45.0,83.0,55.00000000000001,180.0
Washington,0.55,0.46,,13.750000000000002,11.5,,55.00000000000001,46.0,
West Virginia,0.7,,1.8,17.5,,45.0,70.0,,180.0
Wisconsin,0.83,0.2,1.2,20.75,5.0,30.0,83.0,20.0,120.0
Wyoming,1.0,0.48,1.83,25.0,12.0,45.75,100.0,48.0,183.0
Hawaii,,0.4,,,10.0,,,40.0,
Montana,,0.8,1.66,,20.0,41.5,,80.0,166.0
Nevada,,0.5,,,12.5,,,50.0,
Rhode Island,,0.55,,,13.750000000000002,,,55.00000000000001,
