GEO_ID,PCT_total_households_with_Device,PCT_total_households_with_Desktop,PCT_total_households_with_NO,PCT_total_households_with_Smartphone,PCT_total_households_with_NO2,PCT_total_households_with_Portable,PCT_total_households_with_NO3,PCT_total_households_with_Other,PCT_total_households_with_NO4,PCT_total_households_No_Device,PCT_total_households_with_SUB,PCT_total_households_with_DU,PCT_total_households_with_Broadband,PCT_total_households_with_Cellular,PCT_total_households_with_Cell_NO,PCT_total_households_with_Cable,PCT_total_households_with_SAT,PCT_total_households_without_SUB
0500000US01003,92.7,75.1,5.3,84.1,11.2,63.8,1.3,1.4,0.0,7.3,85.1,0.5,84.6,78.1,19.8,57.6,12.9,14.9
0500000US01015,87.6,69.5,6.9,74.4,8.7,57.4,2.6,2.8,0.2,12.4,77.6,0.5,77.1,62.7,14.6,55.9,11.1,22.4
0500000US01043,86.6,63.0,2.2,79.4,13.0,56.1,2.3,1.5,0.2,13.4,80.8,0.7,80.1,70.9,23.8,49.3,9.9,19.2
0500000US01049,85.7,60.0,5.4,77.3,15.8,49.5,1.2,0.9,0.0,14.3,78.0,0.0,78.0,70.1,18.7,54.6,7.8,22.0
0500000US01051,86.6,71.4,2.0,82.8,9.3,64.5,1.0,2.4,0.0,13.4,82.1,0.1,82.0,67.4,9.9,67.9,7.3,17.9
0500000US01055,88.1,61.7,4.4,79.7,17.2,49.0,1.0,1.7,0.4,11.9,81.8,0.0,81.8,72.8,19.6,57.1,7.4,18.2
0500000US01069,81.9,64.2,9.9,69.7,12.5,47.2,0.9,1.9,0.1,18.1,74.7,0.5,74.2,63.7,13.7,57.7,5.1,25.3
0500000US01073,89.1,71.4,3.0,82.7,10.8,57.9,1.0,1.8,0.0,10.9,83.5,0.1,83.4,76.1,15.0,65.0,7.7,16.5
0500000US01077,85.8,67.6,6.4,76.1,12.6,51.2,1.5,2.4,0.0,14.2,76.1,0.1,76.0,67.9,20.4,49.9,8.9,23.9
0500000US01081,92.6,78.8,2.9,87.8,6.3,67.7,0.8,2.5,0.0,7.4,82.0,0.4,81.6,75.0,10.0,66.9,14.1,18.0
0500000US01083,91.1,74.3,3.1,82.9,7.3,68.5,1.0,3.1,0.0,8.9,82.0,0.1,81.9,68.8,10.8,63.7,11.9,18.0
0500000US01089,93.2,80.6,3.7,86.9,7.0,63.9,1.0,2.3,0.0,6.8,88.1,0.1,88.0,78.0,8.3,76.3,6.3,11.9
0500000US01095,88.8,64.3,3.6,82.2,17.4,54.0,0.7,1.6,0.0,11.2,83.2,0.0,83.2,77.8,17.9,61.4,5.6,16.8
0500000US01097,88.1,62.4,3.7,81.5,18.9,46.8,1.1,1.3,0.0,11.9,79.3,2.1,77.3,70.4,21.7,51.5,7.9,20.7
0500000US01101,88.5,65.5,3.0,81.9,14.9,59.3,1.3,2.2,0.0,11.5,82.4,0.2,82.2,74.4,13.1,65.8,5.8,17.6
0500000US01103,86.3,73.0,5.9,78.6,8.5,58.6,0.5,3.2,0.0,13.7,80.6,0.2,80.4,59.5,14.9,62.0,7.0,19.4
0500000US01115,88.0,72.5,7.6,75.8,5.6,63.7,1.2,1.3,0.0,12.0,83.7,0.6,83.1,73.2,9.1,69.2,7.5,16.3
0500000US01117,95.2,80.8,2.1,90.6,8.6,72.5,0.5,4.1,0.0,4.8,90.1,0.1,90.0,83.1,10.0,76.6,9.0,9.9
0500000US01121,85.2,64.7,5.1,77.3,12.3,56.3,1.2,1.0,0.0,14.8,81.6,0.2,81.3,71.1,15.7,57.1,13.3,18.4
0500000US01125,90.2,69.6,3.9,84.1,13.8,55.7,1.1,2.8,0.0,9.8,82.4,0.4,81.9,76.9,13.8,64.5,8.8,17.6
0500000US01127,82.9,58.5,4.3,76.7,16.4,48.4,0.8,2.8,0.0,17.1,77.7,0.4,77.3,69.5,22.0,47.5,11.0,22.3
0500000US02020,97.6,84.4,2.0,93.8,8.9,70.8,0.5,5.4,0.0,2.4,91.9,0.1,91.8,85.6,12.2,78.1,4.0,8.1
