id,pop_total,county,state,pop_class
0500000US01001,58805,Autauga County,Alabama,Small Metro Area
0500000US01003,231767,Baldwin County,Alabama,Small Metro Area
0500000US01005,25223,Barbour County,Alabama,Micro Area
0500000US01007,22293,Bibb County,Alabama,Micro Area
0500000US01009,59134,Blount County,Alabama,Small Metro Area
0500000US01011,10357,Bullock County,Alabama,Micro Area
0500000US01013,19051,Butler County,Alabama,Micro Area
0500000US01015,116441,Calhoun County,Alabama,Small Metro Area
0500000US01017,34772,Chambers County,Alabama,Micro Area
0500000US01019,24971,Cherokee County,Alabama,Micro Area
0500000US01021,45014,Chilton County,Alabama,Micro Area
0500000US01023,12665,Choctaw County,Alabama,Micro Area
0500000US01025,23087,Clarke County,Alabama,Micro Area
0500000US01027,14236,Clay County,Alabama,Micro Area
0500000US01029,15056,Cleburne County,Alabama,Micro Area
0500000US01031,53465,Coffee County,Alabama,Small Metro Area
0500000US01033,57227,Colbert County,Alabama,Small Metro Area
0500000US01035,11597,Conecuh County,Alabama,Micro Area
0500000US01037,10387,Coosa County,Alabama,Micro Area
0500000US01039,37570,Covington County,Alabama,Micro Area
0500000US01041,13194,Crenshaw County,Alabama,Micro Area
0500000US01043,87866,Cullman County,Alabama,Small Metro Area
0500000US01045,49326,Dale County,Alabama,Micro Area
0500000US01047,38462,Dallas County,Alabama,Micro Area
0500000US01049,71608,DeKalb County,Alabama,Small Metro Area
0500000US01051,87977,Elmore County,Alabama,Small Metro Area
0500000US01053,36757,Escambia County,Alabama,Micro Area
0500000US01055,103436,Etowah County,Alabama,Small Metro Area
0500000US01057,16321,Fayette County,Alabama,Micro Area
0500000US01059,32113,Franklin County,Alabama,Micro Area
0500000US01061,26659,Geneva County,Alabama,Micro Area
0500000US01063,7730,Greene County,Alabama,Rural Area
0500000US01065,14785,Hale County,Alabama,Micro Area
0500000US01067,17146,Henry County,Alabama,Micro Area
0500000US01069,107202,Houston County,Alabama,Small Metro Area
0500000US01071,52579,Jackson County,Alabama,Small Metro Area
0500000US01073,674721,Jefferson County,Alabama,Medium Metro Area
0500000US01075,13972,Lamar County,Alabama,Micro Area
0500000US01077,93564,Lauderdale County,Alabama,Small Metro Area
0500000US01079,33073,Lawrence County,Alabama,Micro Area
