id,Total Pop Enrolled,Percent Total Pop Enrolled,Margin Total Pop,County,State
0500000US01003,35912,79.0,1447,Baldwin County, Alabama
0500000US01015,17680,67.7,703,Calhoun County, Alabama
0500000US01043,13985,78.8,760,Cullman County, Alabama
0500000US01049,13367,86.8,617,DeKalb County, Alabama
0500000US01051,13077,72.0,544,Elmore County, Alabama
0500000US01055,16142,76.0,862,Etowah County, Alabama
0500000US01069,18302,74.0,456,Houston County, Alabama
0500000US01073,107246,66.7,2039,Jefferson County, Alabama
0500000US01077,11876,62.6,612,Lauderdale County, Alabama
0500000US01081,25795,44.7,1889,Lee County, Alabama
0500000US01083,19196,73.7,1465,Limestone County, Alabama
0500000US01089,59636,62.8,1345,Madison County, Alabama
0500000US01095,18014,78.7,720,Marshall County, Alabama
0500000US01097,70420,71.7,1735,Mobile County, Alabama
0500000US01101,39155,69.8,1217,Montgomery County, Alabama
0500000US01103,20762,74.4,1649,Morgan County, Alabama
0500000US01115,15765,76.4,873,St. Clair County, Alabama
0500000US01117,36791,66.8,1814,Shelby County, Alabama
0500000US01121,13255,76.8,720,Talladega County, Alabama
0500000US01125,31619,49.5,1503,Tuscaloosa County, Alabama
0500000US01127,10388,75.2,539,Walker County, Alabama
0500000US02020,50223,64.7,1379,Anchorage Municipality, Alaska
0500000US02090,16140,59.6,881,Fairbanks North Star Borough, Alaska
0500000US02170,20613,77.6,696,Matanuska-Susitna Borough, Alaska
0500000US04001,15882,84.1,599,Apache County, Arizona
0500000US04003,20623,72.2,901,Cochise County, Arizona
0500000US04005,22193,44.5,979,Coconino County, Arizona
0500000US04013,768832,69.3,5556,Maricopa County, Arizona
0500000US04015,24296,73.9,1377,Mohave County, Arizona
0500000US04017,22196,84.5,677,Navajo County, Arizona
0500000US04019,162054,62.3,2194,Pima County, Arizona
0500000US04021,79290,77.1,2194,Pinal County, Arizona
0500000US04025,28288,68.9,1294,Yavapai County, Arizona
0500000US04027,39050,72.0,1339,Yuma County, Arizona
0500000US05007,51698,77.7,788,Benton County, Arkansas
0500000US05031,18856,61.1,946,Craighead County, Arkansas
0500000US05045,19347,55.5,1015,Faulkner County, Arkansas
0500000US05051,14181,72.0,1195,Garland County, Arkansas
0500000US05069,10969,71.0,666,Jefferson County, Arkansas
