"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US01003","Baldwin County, Alabama","83501","2931","5.9","1.5","3.2","1.0","9.6","2.6","12.0","2.0","13.1","2.1","19.5","2.7","12.1","2.1","12.4","2.1","6.0","1.1","6.2","1.6","56813","3367","80251","5801","35.6","(X)","(X)","(X)","(X)","(X)","55354","3201","3.5","1.4","1.0","0.6","6.7","2.9","8.5","2.1","12.6","2.4","21.0","3.4","13.8","2.7","16.0","2.9","8.6","1.7","8.4","2.2","71051","6402","97639","8053","(X)","(X)","39.8","(X)","(X)","(X)","44921","3349","1.5","0.8","0.6","0.5","2.9","1.5","7.6","2.2","12.3","2.5","21.2","3.7","15.2","3.0","18.5","3.2","9.8","2.0","10.4","2.6","82396","7619","N","N","(X)","(X)","(X)","(X)","(X)","(X)","28147","2400","11.0","3.2","7.7","2.9","16.5","4.2","19.4","4.2","14.6","4.2","16.6","4.3","7.6","2.8","4.4","2.2","0.6","0.6","1.7","1.6","32788","2700","43876","4966","(X)","(X)","(X)","(X)","26.1","(X)"
"0500000US01015","Calhoun County, Alabama","44264","1834","9.6","2.0","5.7","2.1","15.7","2.8","9.8","2.2","11.1","2.0","18.0","3.0","13.0","2.6","11.4","2.3","3.4","1.5","2.2","1.3","45818","5781","61117","5308","38.2","(X)","(X)","(X)","(X)","(X)","30110","1952","3.5","1.5","4.7","2.4","16.4","4.2","7.3","2.3","9.1","2.1","18.5","3.6","18.1","3.5","15.1","3.1","4.4","2.0","2.9","1.8","60889","6943","72662","7334","(X)","(X)","36.9","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79610","7401","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14154","1668","23.5","4.8","11.2","4.5","21.5","5.8","9.7","3.8","13.0","3.3","15.1","5.0","2.2","1.6","3.3","2.1","0.0","1.2","0.6","0.7","21657","2539","31355","3835","(X)","(X)","(X)","(X)","36.6","(X)"
"0500000US01043","Cullman County, Alabama","30323","1437","6.9","2.0","7.1","2.4","11.7","3.1","13.2","2.9","16.3","3.9","16.7","2.8","10.9","2.7","9.9","2.6","4.2","1.5","3.0","1.8","44612","3562","67585","10099","43.0","(X)","(X)","(X)","(X)","(X)","21587","1452","4.5","2.1","5.2","2.6","6.0","2.5","11.4","3.4","17.0","4.7","19.9","3.7","14.0","3.5","12.5","3.4","6.3","2.1","3.3","2.2","54852","5925","75154","9891","(X)","(X)","42.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","62318","11663","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8736","1272","15.7","5.6","12.1","6.2","26.2","8.7","15.3","5.7","14.7","7.1","7.9","4.2","3.2","2.3","3.3","4.0","0.0","1.9","1.5","2.4","24155","1829","47411","25675","(X)","(X)","(X)","(X)","43.9","(X)"
"0500000US01049","DeKalb County, Alabama","26462","1458","10.3","3.3","8.1","2.8","14.8","3.9","14.8","3.7","11.8","3.1","15.7","3.2","11.1","3.4","8.2","2.6","2.2","1.5","3.0","1.5","36998","4416","57354","6313","38.4","(X)","(X)","(X)","(X)","(X)","19148","1468","6.0","3.3","3.5","2.3","13.5","5.3","14.7","5.0","11.8","3.7","19.3","4.1","13.6","4.6","10.5","3.4","3.0","2.1","4.2","2.1","50728","8376","69195","8354","(X)","(X)","37.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61186","7869","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7314","1254","22.9","8.2","20.3","8.2","18.9","7.2","16.2","7.6","11.9","5.3","4.7","3.5","2.6","2.9","2.3","2.8","0.1","0.2","0.0","2.3","18606","6038","24717","3853","(X)","(X)","(X)","(X)","40.0","(X)"
"0500000US01051","Elmore County, Alabama","30155","1094","6.3","2.4","3.9","1.8","10.3","3.7","8.8","2.8","11.1","2.8","21.6","4.6","17.2","3.7","14.1","3.6","3.8","2.1","3.0","1.5","60796","4766","70961","5038","33.7","(X)","(X)","(X)","(X)","(X)","22103","1558","4.0","2.3","0.9","0.8","5.0","2.5","7.7","3.5","12.6","3.6","25.3","5.5","18.6","4.4","17.4","4.9","4.7","2.7","3.7","1.8","66541","5343","79700","5193","(X)","(X)","32.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","78466","6689","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8052","1370","15.7","7.6","12.0","6.4","21.9","9.7","11.5","5.5","8.7","4.6","11.2","5.4","11.7","6.7","5.4","3.3","1.2","2.0","0.9","1.4","25302","8758","45555","12795","(X)","(X)","(X)","(X)","33.4","(X)"
"0500000US01055","Etowah County, Alabama","38625","1544","5.6","1.6","5.6","1.8","14.1","2.6","14.5","3.5","13.9","2.4","14.9","2.6","13.4","3.0","13.4","2.8","2.4","1.3","2.2","1.1","45868","3875","63046","4535","38.9","(X)","(X)","(X)","(X)","(X)","26319","1982","3.5","1.7","5.4","2.6","11.4","3.3","12.2","3.3","11.4","2.9","15.1","2.8","19.0","4.0","16.1","3.7","3.4","1.9","2.5","1.5","60788","4929","70556","5687","(X)","(X)","38.6","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","76709","3175","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12306","1542","12.5","4.3","9.1","3.3","23.5","6.3","14.2","5.9","19.6","4.8","12.3","4.5","1.2","1.5","5.7","3.6","0.2","0.4","1.7","1.8","28814","5121","42710","7553","(X)","(X)","(X)","(X)","39.7","(X)"
"0500000US01069","Houston County, Alabama","38861","1098","9.0","1.3","6.4","1.4","11.8","1.4","10.5","1.6","13.7","1.7","17.0","1.5","10.6","1.4","13.7","1.8","4.2","0.8","3.1","0.6","48105","3174","66880","3022","43.8","(X)","(X)","(X)","(X)","(X)","25002","959","5.1","1.3","3.1","1.0","8.2","1.8","8.7","1.6","13.9","1.8","19.6","2.2","13.8","1.9","17.3","2.4","6.1","1.2","4.2","0.9","63720","4306","81268","4045","(X)","(X)","45.9","(X)","(X)","(X)","17935","1026","1.2","0.6","1.2","0.8","5.5","1.4","7.1","1.7","12.0","1.8","21.8","2.7","15.5","2.3","22.1","3.2","8.0","1.6","5.6","1.3","76756","4744","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13859","910","16.9","2.9","12.3","3.2","19.1","2.5","14.1","3.2","13.1","2.3","11.8","2.6","4.9","1.3","6.2","2.8","0.6","0.5","0.9","0.6","26016","2426","38635","3206","(X)","(X)","(X)","(X)","38.6","(X)"
"0500000US01073","Jefferson County, Alabama","255940","3851","8.3","0.9","5.3","0.7","10.3","1.0","9.3","1.0","11.8","1.1","17.5","1.3","12.5","1.2","13.5","1.1","5.4","0.8","6.0","0.6","55206","1872","78690","2454","41.1","(X)","(X)","(X)","(X)","(X)","159115","4844","4.7","0.9","2.5","0.6","7.4","1.3","7.7","1.2","11.7","1.6","17.1","1.8","14.9","1.7","17.8","1.6","7.7","1.2","8.6","1.0","72335","4760","96899","3564","(X)","(X)","42.6","(X)","(X)","(X)","107628","4923","1.1","0.5","0.6","0.3","4.3","1.1","5.3","1.1","8.5","1.7","16.0","2.1","18.5","2.2","23.7","2.1","10.3","1.6","11.7","1.5","93555","3969","119643","4696","(X)","(X)","(X)","(X)","(X)","(X)","96825","4380","14.9","1.9","10.3","1.5","16.5","2.0","12.2","1.6","12.4","1.9","17.1","2.1","7.6","1.4","5.8","1.1","1.6","0.6","1.6","0.6","31814","1828","46804","3616","(X)","(X)","(X)","(X)","36.8","(X)"
"0500000US01077","Lauderdale County, Alabama","38670","1735","6.6","1.6","5.9","2.2","11.4","2.7","9.7","2.7","17.2","3.5","18.8","3.4","11.0","2.9","12.8","2.5","2.3","1.3","4.2","1.8","49014","5747","69253","7071","42.2","(X)","(X)","(X)","(X)","(X)","27140","1870","5.3","2.4","1.6","1.0","7.6","2.6","7.1","2.5","17.1","4.2","21.0","4.0","13.5","3.9","17.8","3.5","3.3","1.9","5.7","2.4","62759","7076","82515","8451","(X)","(X)","41.7","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","71941","5730","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11530","1499","14.0","4.2","16.2","6.6","19.8","6.0","14.8","5.7","15.3","5.3","12.9","5.0","5.3","4.0","1.1","1.1","0.0","1.4","0.6","1.0","24954","5334","36317","10514","(X)","(X)","(X)","(X)","39.8","(X)"
