id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,geo_id_x,est_total_households,est_med_income_households,est_total_families,est_med_income_families,geo_id_y,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,geo_id_x,total_one_device,total_multi_device,total_without_device,total_households_org,geo_id_y,total_with_subs_org,total_without_subs_org,total_cellular_subs,total_with_cell_sub_only,total_subs,total_without_subs,total_subs_w_cell
0500000US01001,58805.0,Autauga County,Alabama,Small Metro Area,2018.0,0.78899997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01003,231767.0,Baldwin County,Alabama,Small Metro Area,2018.0,0.78099996,35912.0,79.0,1447.0,0500000US01003,83501.0,56813.0,55354.0,71051.0,0500000US01003,176222.0,58.3,2.4,0500000US01003,81612.0,67214.0,17291.0,176222.0,0500000US01003,153963.0,,,,0.0,0.0,0.0
0500000US01005,25223.0,Barbour County,Alabama,Micro Area,2018.0,0.60399997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01007,22293.0,Bibb County,Alabama,Micro Area,2018.0,0.66100001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01009,59134.0,Blount County,Alabama,Small Metro Area,2018.0,0.685,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01011,10357.0,Bullock County,Alabama,Micro Area,2018.0,0.58899999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01013,19051.0,Butler County,Alabama,Micro Area,2018.0,0.62099999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01015,116441.0,Calhoun County,Alabama,Small Metro Area,2018.0,0.73000002,17680.0,67.7,703.0,0500000US01015,44264.0,45818.0,30110.0,60889.0,0500000US01015,93284.0,53.0,8.1,0500000US01015,41765.0,36583.0,8275.0,93284.0,0500000US01015,70466.0,,,,19360.0,0.0,19360.0
0500000US01017,34772.0,Chambers County,Alabama,Micro Area,2018.0,0.66499996,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01019,24971.0,Cherokee County,Alabama,Micro Area,2018.0,0.68599999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01021,45014.0,Chilton County,Alabama,Micro Area,2018.0,0.61800003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01023,12665.0,Choctaw County,Alabama,Micro Area,2018.0,0.583,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01025,23087.0,Clarke County,Alabama,Micro Area,2018.0,0.53200001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01027,14236.0,Clay County,Alabama,Micro Area,2018.0,0.68199998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01029,15056.0,Cleburne County,Alabama,Micro Area,2018.0,0.60399997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01031,53465.0,Coffee County,Alabama,Small Metro Area,2018.0,0.77600002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01033,57227.0,Colbert County,Alabama,Small Metro Area,2018.0,0.68199998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01035,11597.0,Conecuh County,Alabama,Micro Area,2018.0,0.472,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01037,10387.0,Coosa County,Alabama,Micro Area,2018.0,0.64300001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01039,37570.0,Covington County,Alabama,Micro Area,2018.0,0.68599999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01041,13194.0,Crenshaw County,Alabama,Micro Area,2018.0,0.59600002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01043,87866.0,Cullman County,Alabama,Small Metro Area,2018.0,0.699,13985.0,78.8,760.0,0500000US01043,30323.0,44612.0,21587.0,54852.0,0500000US01043,66680.0,53.8,4.3,0500000US01043,30078.0,26316.0,6425.0,66680.0,0500000US01043,63420.0,,,,0.0,0.0,0.0
0500000US01045,49326.0,Dale County,Alabama,Micro Area,2018.0,0.72900003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01047,38462.0,Dallas County,Alabama,Micro Area,2018.0,0.634,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01049,71608.0,DeKalb County,Alabama,Small Metro Area,2018.0,0.66999996,13367.0,86.8,617.0,0500000US01049,26462.0,36998.0,19148.0,50728.0,0500000US01049,57239.0,51.7,3.2,0500000US01049,24255.0,23206.0,4884.0,57239.0,0500000US01049,49530.0,,,,0.0,0.0,0.0
0500000US01051,87977.0,Elmore County,Alabama,Small Metro Area,2018.0,0.796,13077.0,72.0,544.0,0500000US01051,30155.0,60796.0,22103.0,66541.0,0500000US01051,65407.0,52.4,5.3,0500000US01051,29564.0,27327.0,4749.0,65407.0,0500000US01051,49630.0,,,,0.0,0.0,0.0
0500000US01053,36757.0,Escambia County,Alabama,Micro Area,2018.0,0.57300001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01055,103436.0,Etowah County,Alabama,Small Metro Area,2018.0,0.73400003,16142.0,76.0,862.0,0500000US01055,38625.0,45868.0,26319.0,60788.0,0500000US01055,82575.0,53.5,5.2,0500000US01055,36347.0,34025.0,8113.0,82575.0,0500000US01055,66928.0,,,,13480.0,0.0,13480.0
0500000US01057,16321.0,Fayette County,Alabama,Micro Area,2018.0,0.68900001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01059,32113.0,Franklin County,Alabama,Micro Area,2018.0,0.597,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01061,26659.0,Geneva County,Alabama,Micro Area,2018.0,0.66900003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01063,7730.0,Greene County,Alabama,Rural Area,2018.0,0.46199998,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01065,14785.0,Hale County,Alabama,Micro Area,2018.0,0.54899997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01067,17146.0,Henry County,Alabama,Micro Area,2018.0,0.722,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01069,107202.0,Houston County,Alabama,Small Metro Area,2018.0,0.704,18302.0,74.0,456.0,0500000US01069,38861.0,48105.0,25002.0,63720.0,0500000US01069,83421.0,53.7,6.0,0500000US01069,37258.0,33391.0,7763.0,83421.0,0500000US01069,59431.0,,,,22314.0,0.0,22314.0
0500000US01071,52579.0,Jackson County,Alabama,Small Metro Area,2018.0,0.671,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01073,674721.0,Jefferson County,Alabama,Medium Metro Area,2018.0,0.764,107246.0,66.7,2039.0,0500000US01073,255940.0,55206.0,159115.0,72335.0,0500000US01073,527740.0,56.6,6.7,0500000US01073,237879.0,212868.0,42724.0,527740.0,0500000US01073,281283.0,,,,221613.0,0.0,221613.0
0500000US01075,13972.0,Lamar County,Alabama,Micro Area,2018.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01077,93564.0,Lauderdale County,Alabama,Small Metro Area,2018.0,0.68700004,11876.0,62.6,612.0,0500000US01077,38670.0,49014.0,27140.0,62759.0,0500000US01077,76012.0,56.5,2.3,0500000US01077,33883.0,29606.0,8059.0,76012.0,0500000US01077,66402.0,,,,0.0,0.0,0.0
0500000US01079,33073.0,Lawrence County,Alabama,Micro Area,2018.0,0.59200001,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01081,174241.0,Lee County,Alabama,Small Metro Area,2018.0,0.80300003,25795.0,44.7,1889.0,0500000US01081,59336.0,46456.0,37314.0,74592.0,0500000US01081,132509.0,55.5,5.8,0500000US01081,52067.0,61424.0,6552.0,132509.0,0500000US01081,95278.0,,,,28839.0,0.0,28839.0
0500000US01083,103570.0,Limestone County,Alabama,Small Metro Area,2018.0,0.76600003,19196.0,73.7,1465.0,0500000US01083,32333.0,67000.0,23006.0,77707.0,0500000US01083,76535.0,54.1,5.1,0500000US01083,35169.0,29708.0,6029.0,76535.0,0500000US01083,61408.0,,,,11348.0,0.0,11348.0
0500000US01085,10311.0,Lowndes County,Alabama,Micro Area,2018.0,0.49399999,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01087,19532.0,Macon County,Alabama,Micro Area,2018.0,0.55800003,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01089,388153.0,Madison County,Alabama,Medium Metro Area,2018.0,0.83899999,59636.0,62.8,1345.0,0500000US01089,152723.0,63111.0,97542.0,80584.0,0500000US01089,296893.0,59.6,5.2,0500000US01089,135169.0,117832.0,23347.0,296893.0,0500000US01089,203756.0,,,,79855.0,0.0,79855.0
0500000US01091,19323.0,Marengo County,Alabama,Micro Area,2018.0,0.53100002,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01093,29341.0,Marion County,Alabama,Micro Area,2018.0,0.64599997,,,,,,,,,,,,,,,,,,,,,,,,,
0500000US01095,97612.0,Marshall County,Alabama,Small Metro Area,2018.0,0.745,18014.0,78.7,720.0,0500000US01095,36022.0,47528.0,24111.0,58143.0,0500000US01095,74664.0,54.3,4.4,0500000US01095,33559.0,29129.0,7143.0,74664.0,0500000US01095,68800.0,,,,0.0,0.0,0.0
