id,pop_total,county,state,pop_class,year,broadband_pct,total_pop_enrolled,percent_total_pop_enrolled,margin_total_pop,est_total_households_frm_income,est_med_income_households,est_total_families,est_med_income_families,est_total_pop_16_over,est_emp_pop_ratio_16_over,est_unemp_pop_ratio_16_over,est_total_households_frm_devices,est_total_households_with_device,est_total_households_with_desktop,est_total_households_with_no,est_total_households_with_smartphone,est_total_households_with_no2,est_total_households_with_portable,est_total_households_with_no3,est_total_households_with_other,est_total_households_with_no4,est_total_households_none,est_total_households_with_sub,est_total_households_with_du,est_total_households_with_broadband,est_total_households_with_cellular,est_total_households_with_cell_no,est_total_households_with_cable,est_total_households_with_sat,est_total_households_without_sub,pct_total_households_with_device,pct_total_households_with_desktop,pct_total_households_with_no,pct_total_households_with_smartphone,pct_total_households_with_no2,pct_total_households_with_portable,pct_total_households_with_no3,pct_total_households_with_other,pct_total_households_with_no4,pct_total_households_no_device,pct_total_households_with_sub,pct_total_households_with_du,pct_total_households_with_broadband,pct_total_households_with_cellular,pct_total_households_with_cell_no,pct_total_households_with_cable,pct_total_households_with_sat,pct_total_households_without_sub,total_one_device,total_multi_device,total_without_device,total_households_org,est_total_households_official,est_avg_household_size,est_total_families_official,est_avg_families_size,state_code,region,division,x_est_med_income_households,income_label,income_score,desktop_rank,smartphone_rank,portable_rank,no_device_rank,bdbd_score
0500000US01001,58805.0,Autauga County,Alabama,Small Metro Area,2018.0,78.899997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,5
0500000US01003,231767.0,Baldwin County,Alabama,Small Metro Area,2018.0,78.099996,35912.0,79.0,1447.0,83501.0,56813.0,55354.0,71051.0,176222.0,58.3,2.4,176222.0,10105.0,10426.0,11901.0,11597.0,25990.0,30117.0,16569.0,15074.0,27152.0,17291.0,153963.0,,,,,,,,92.7,75.1,5.3,84.1,11.2,63.8,1.3,1.4,0.0,7.3,85.1,0.5,84.6,78.1,19.8,57.6,12.9,14.9,81612.0,67214.0,17291.0,176222.0,83501.0,2.57,55354.0,3.18,AL,South,East South Central,56.813,Middle Income,3.0,3,3,3,3,4
0500000US01005,25223.0,Barbour County,Alabama,Micro Area,2018.0,60.399997000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,2
0500000US01007,22293.0,Bibb County,Alabama,Micro Area,2018.0,66.10000099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,2
0500000US01009,59134.0,Blount County,Alabama,Small Metro Area,2018.0,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,3
0500000US01011,10357.0,Bullock County,Alabama,Micro Area,2018.0,58.899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,2
0500000US01013,19051.0,Butler County,Alabama,Micro Area,2018.0,62.099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,2
0500000US01015,116441.0,Calhoun County,Alabama,Small Metro Area,2018.0,73.000002,17680.0,67.7,703.0,44264.0,45818.0,30110.0,60889.0,93284.0,53.0,8.1,93284.0,6661.0,7451.0,8612.0,7661.0,12608.0,13616.0,8305.0,7855.0,12240.0,8275.0,70466.0,19360.0,,,,,,,87.6,69.5,6.9,74.4,8.7,57.4,2.6,2.8,0.2,12.4,77.6,0.5,77.1,62.7,14.6,55.9,11.1,22.4,41765.0,36583.0,8275.0,93284.0,44264.0,2.51,30110.0,2.99,AL,South,East South Central,45.818,Just Above Poverty,2.0,3,2,3,3,3
0500000US01017,34772.0,Chambers County,Alabama,Micro Area,2018.0,66.499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,2
0500000US01019,24971.0,Cherokee County,Alabama,Micro Area,2018.0,68.599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL,South,East South Central,,Unknown,,0,0,0,0,3
